,Estado,Interés
0,Tamaulipas,100
1,Tabasco,95
2,Chiapas,95
3,Nayarit,95
4,Guerrero,94
5,Zacatecas,92
6,Sinaloa,89
7,Durango,88
8,Tlaxcala,88
9,Oaxaca,87
10,Colima,87
11,Veracruz,85
12,San Luis Potosí,84
13,Nuevo León,82
14,Hidalgo,82
15,Puebla,77
16,Yucatán,76
17,Campeche,76
18,Sonora,75
19,Ciudad de México,74
20,Estado de México,74
21,Chihuahua,73
22,Jalisco,73
23,Coahuila de Zaragoza,73
24,Baja California,72
25,Aguascalientes,71
26,Morelos,70
27,Michoacán,70
28,Guanajuato,67
29,Baja California Sur,65
30,Quintana Roo,61
31,Querétaro,59
