,fecha,interes_en_cancer
0,2012-01-01,17
1,2012-02-01,19
2,2012-03-01,22
3,2012-04-01,16
4,2012-05-01,21
5,2012-06-01,17
6,2012-07-01,14
7,2012-08-01,14
8,2012-09-01,22
9,2012-10-01,74
10,2012-11-01,28
11,2012-12-01,16
12,2013-01-01,19
13,2013-02-01,17
14,2013-03-01,21
15,2013-04-01,22
16,2013-05-01,22
17,2013-06-01,16
18,2013-07-01,13
19,2013-08-01,18
20,2013-09-01,20
21,2013-10-01,76
22,2013-11-01,25
23,2013-12-01,13
24,2014-01-01,15
25,2014-02-01,17
26,2014-03-01,29
27,2014-04-01,19
28,2014-05-01,23
29,2014-06-01,16
30,2014-07-01,14
31,2014-08-01,17
32,2014-09-01,25
33,2014-10-01,95
34,2014-11-01,29
35,2014-12-01,20
36,2015-01-01,18
37,2015-02-01,23
38,2015-03-01,23
39,2015-04-01,23
40,2015-05-01,21
41,2015-06-01,21
42,2015-07-01,18
43,2015-08-01,18
44,2015-09-01,23
45,2015-10-01,98
46,2015-11-01,32
47,2015-12-01,14
48,2016-01-01,19
49,2016-02-01,21
50,2016-03-01,22
51,2016-04-01,24
52,2016-05-01,24
53,2016-06-01,24
54,2016-07-01,33
55,2016-08-01,20
56,2016-09-01,28
57,2016-10-01,96
58,2016-11-01,32
59,2016-12-01,16
60,2017-01-01,18
61,2017-02-01,21
62,2017-03-01,27
63,2017-04-01,20
64,2017-05-01,25
65,2017-06-01,21
66,2017-07-01,17
67,2017-08-01,18
68,2017-09-01,21
69,2017-10-01,83
70,2017-11-01,30
71,2017-12-01,15
72,2018-01-01,20
73,2018-02-01,21
74,2018-03-01,20
75,2018-04-01,21
76,2018-05-01,25
77,2018-06-01,19
78,2018-07-01,18
79,2018-08-01,20
80,2018-09-01,28
81,2018-10-01,100
82,2018-11-01,30
83,2018-12-01,18
84,2019-01-01,18
85,2019-02-01,23
86,2019-03-01,26
87,2019-04-01,22
88,2019-05-01,23
89,2019-06-01,23
90,2019-07-01,20
91,2019-08-01,21
92,2019-09-01,31
93,2019-10-01,97
94,2019-11-01,32
95,2019-12-01,19
96,2020-01-01,20
